Zip Code,City,County,Population
27047,Siloam,Surry County,1439.0
27829,Fountain,Pitt County,1436.0
28442,Hallsboro,Columbus County,1432.0
28902,Brasstown,Clay County,1419.0
28363,Marston,Richmond County,1415.0
27508,Bunn,Franklin County,1413.0
28432,Clarendon,Columbus County,1407.0
27242,Eagle Springs,Moore County,1366.0
27974,Shiloh,Camden County,1351.0
27016,Danbury,Stokes County,1339.0
27884,Stokes,Pitt County,1332.0
28766,Penrose,Transylvania County,1331.0
28531,Harkers Island,Carteret County,1260.0
27947,Jarvisburg,Currituck County,1259.0
27938,Gatesville,Gates County,1233.0
28683,Thurmond,Wilkes County,1232.0
27876,Seaboard,Northampton County,1218.0
27973,Shawboro,Currituck County,1205.0
28009,Badin,Stanly County,1183.0
27709,Durham,Durham County,1152.0
28772,Rosman,Transylvania County,1149.0
28644,Laurel Springs,Ashe County,1147.0
27957,Merry Hill,Bertie County,1143.0
28611,Collettsville,Caldwell County,1131.0
28006,Alexis,Gaston County,1116.0
27022,Lawsonville,Stokes County,1103.0
27843,Hobgood,Halifax County,1053.0
28439,Fair Bluff,Columbus County,1038.0
27857,Oak City,Martin County,1037.0
27919,Belvidere,Perquimans County,1035.0
27946,Hobbsville,Gates County,1022.0
28627,Glade Valley,Alleghany County,1020.0
28556,Merritt,Pamlico County,1013.0
28909,Warne,Clay County,993.0
28101,Mc Adenville,Gaston County,970.0
27885,Swanquarter,Hyde County,963.0
27866,Pleasant Hill,Northampton County,961.0
27314,Prospect Hill,Caswell County,956.0
27936,Frisco,Dare County,953.0
28434,Council,Bladen County,948.0
27927,Corolla,Currituck County,947.0
27014,Cooleemee,Davie County,942.0
27826,Fairfield,Hyde County,924.0
28774,Sapphire,Transylvania County,924.0
28448,Kelly,Bladen County,902.0
28452,Longwood,Brunswick County,899.0
27953,Manns Harbor,Dare County,888.0
28649,Mc Grady,Wilkes County,868.0
27916,Aydlett,Currituck County,860.0
28740,Green Mountain,Yancey County,849.0
27923,Coinjock,Currituck County,827.0
27966,Powells Point,Currituck County,818.0
27813,Black Creek,Wilson County,792.0
28527,Ernul,Craven County,788.0
28736,Glenville,Jackson County,782.0
28781,Topton,Cherokee County,781.0
